Código Capítulo;Capítulo Descripción;Exportaciones;Mes;NUM;Año
2;Carne y despojos comestibles.;188188.1627;Febrero;2;2019
2;Carne y despojos comestibles.;1027481.913;Marzo;3;2019
2;Carne y despojos comestibles.;420253.4421;Abril;4;2019
2;Carne y despojos comestibles.;313574.7577;Mayo;5;2019
2;Carne y despojos comestibles.;1177133.085;Junio;6;2019
2;Carne y despojos comestibles.;853225.1599;Julio;7;2019
2;Carne y despojos comestibles.;851517.5169;Agosto;8;2019
2;Carne y despojos comestibles.;464258.8607;Septiembre;9;2019
2;Carne y despojos comestibles.;1235936.49;Octubre;10;2019
2;Carne y despojos comestibles.;1065425.385;Noviembre;11;2019
2;Carne y despojos comestibles.;371775.5409;Diciembre;12;2019
2;Carne y despojos comestibles.;1345292.57;Enero;1;2020
2;Carne y despojos comestibles.;878939.8578;Febrero;2;2020
2;Carne y despojos comestibles.;672643.859;Marzo;3;2020
2;Carne y despojos comestibles.;127585.1078;Abril;4;2020
2;Carne y despojos comestibles.;223350.6959;Mayo;5;2020
2;Carne y despojos comestibles.;542843.3482;Junio;6;2020
2;Carne y despojos comestibles.;467634.4874;Julio;7;2020
2;Carne y despojos comestibles.;721385.2661;Agosto;8;2020
2;Carne y despojos comestibles.;345926.0218;Septiembre;9;2020
2;Carne y despojos comestibles.;265276.1305;Octubre;10;2020
2;Carne y despojos comestibles.;264754.3807;Noviembre;11;2020
2;Carne y despojos comestibles.;131134.2816;Diciembre;12;2020
2;Carne y despojos comestibles.;33466.4925;Enero;1;2021
2;Carne y despojos comestibles.;45782.457;Febrero;2;2021
2;Carne y despojos comestibles.;189956.4695;Marzo;3;2021
2;Carne y despojos comestibles.;367552.5718;Abril;4;2021
2;Carne y despojos comestibles.;640739.6059;Mayo;5;2021
2;Carne y despojos comestibles.;494058.201;Junio;6;2021
2;Carne y despojos comestibles.;642505.9897;Julio;7;2021
2;Carne y despojos comestibles.;192203.5217;Agosto;8;2021
2;Carne y despojos comestibles.;308351.7996;Septiembre;9;2021
2;Carne y despojos comestibles.;306097.1666;Octubre;10;2021
2;Carne y despojos comestibles.;796969.1561;Noviembre;11;2021
2;Carne y despojos comestibles.;231969.6221;Diciembre;12;2021
2;Carne y despojos comestibles.;531367.7903;Enero;1;2022
2;Carne y despojos comestibles.;561905.5563;Febrero;2;2022
